param	value	best_seed	best_mean_return	best_std_return
gravity	0.001	4	-64.160	5.006
gravity	0.00125	2	-77.665	5.634
gravity	0.0015	3	-82.400	0.490
gravity	0.00175	3	-84.525	0.774
gravity	0.002	3	-86.700	3.956
gravity	0.0022500000000000003	0	-96.790	8.507
gravity	0.0025	1	-102.645	9.711
gravity	0.00275	2	-114.135	8.960
gravity	0.003	4	-119.820	9.112
gravity	0.0032500000000000003	2	-131.775	10.803
gravity	0.0035	2	-136.240	13.909
gravity	0.00375	2	-172.745	28.431
gravity	0.004	0	-163.690	28.575
gravity	0.00425	1	-200.000	0.000
gravity	0.0045000000000000005	3	-161.025	23.360
gravity	0.00475	4	-200.000	0.000
gravity	0.005	0	-200.000	0.000
